,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
132,616,Kaseda-shirakame,JP,31.4167,130.3167,52.14,68,100,7.11,JR Kyushu Hotel Kagoshima
133,617,Port-de-Bouc,FR,43.4,4.9833,53.82,84,75,19.57,Hotel NH Collection Marseille
134,625,Te Anau,NZ,-45.4167,167.7167,68.36,45,100,1.74,Distinction Luxmore Hotel Te Anau
135,628,Riosucio,CO,5.4216,-75.7032,63.03,99,100,1.48,ESTELAR Recinto Del Pensamiento Hotel & Centro de Convenciones
136,633,Aswān,EG,24.0934,32.907,57.85,32,0,9.57,Sofitel Legend Old Cataract Aswan
137,635,Djebeniana,TN,35.035,10.9081,52.95,82,97,5.19,ibis Sfax
138,639,Umm Kaddadah,SD,13.6017,26.6876,62.64,20,0,17.31,
139,640,Tanhaçu,BR,-14.0214,-41.2481,68.65,94,100,2.75,Hotel Portal Premium
140,642,Teverya,IL,32.7922,35.5312,54.88,80,88,2.75,Leonardo Hotel Tiberias
141,643,Bernalillo,US,35.05,-106.6673,52.16,24,0,4.61,Comfort Inn & Suites
142,650,Socorro,US,31.6546,-106.3033,57.18,29,0,0.76,"Holiday Inn Express & Suites Cd. Juarez - Las Misiones, an IHG Hotel"
143,652,Praia da Vitória,PT,38.7333,-27.0667,54.75,74,100,4.76,Terceira Mar Hotel | Angra do Heroísmo - Terceira
144,657,Maoming,CN,21.65,110.9,61.86,72,85,3.96,Wyndham Grand Maoming
145,663,Tonk,IN,26.1667,75.7833,56.08,40,0,4.34,Six Senses Fort Barwara
146,664,Eureka,US,40.8021,-124.1637,60.75,90,100,1.01,Best Western Plus Humboldt Bay Inn
147,666,Valparaíso,CL,-33.0393,-71.6273,66.47,77,75,5.75,Hotel Boutique 17
148,669,Ponta Delgada,PT,37.7333,-25.6667,58.5,62,75,4.61,VIP Executive Azores Hotel
149,674,Thaba-Tseka,LS,-29.522,28.6084,55.38,84,67,1.7,Mohale Oa Masite Hotel
